Titulo,Sinopsis,Fecha_Estreno,Genero_Principal,Puntuacion_Media_TMDb
Sin compromiso,"Emma (Natalie Portman) y Adam (Ashton Kutcher) son, desde hace mucho tiempo, dos buenos amigos, pero casi arruinan su relación por pasar una noche juntos. Deciden, entonces, preservar su amistad por encima de todo, aunque tengan relaciones íntimas. Muy pronto descubrirán que es muy difícil mantener una relación estrictamente física sin contraer compromiso alguno y al margen de los sentimientos",2011-01-21,Comedia,6.296
Gru 3. Mi villano favorito,"A Gru lo han despedido. Se ha quedado sin trabajo porque ha dejado escapar al supervillano Balthazar Bratt, estrella infantil de los años 80 que con la llegada de la pubertad lo perdió todo y ha estado creando el caos en todo el planeta.  Además, Gru va a conocer a su hermano gemelo Dru y tendrá que decidir si está listo para continuar la tradición familiar de dedicarse al crimen, y unirse a el para llevar a cabo un último golpe. Aunque ha dejado esa vida atrás… ¿volverá a convertirse Gru en un villano?",2017-06-15,Comedia,6.468
Letras robadas,,2026-05-18,Comedia,7.0
Sharkenstein,,2016-08-01,Comedia,2.956
Río 2,"Secuela de la película ""Río"" (2010) dirigida por Carlos Saldanha, encargado también de esta segunda parte.. Blu, Perla y sus pequeños disfrutan de una vida cómoda, alegre y perfecta en la ciudad de Río de Janeiro, Brasil. Pero Perla tiene muy claro que sus hijos deben aprender a vivir como los pájaros libres y salvajes que son, y para ello está convencida de que lo mejor es trasladarse al Amazonas. Una vez allí, Blu tendrá que enfrentarse a sus nuevos vecinos y a la idea terrible de perder a Perla y a sus hijos porque decidan vivir en la naturaleza salvaje para siempre.",2014-03-19,Comedia,6.5
Agárralo como puedas,"Después de que su compañero Nordberg fuera tiroteado por una banda de narcotraficantes, el incompetente teniente Frank Drebin busca al jefe de la organización para vengarse. Sospecha del magnate naviero Vincent Ludwig, pero no tiene pruebas para inculparlo. Tendrá incluso que enfrentarse a una alcaldesa, que trata de obstaculizar su investigación. Sin embargo, Drebin consigue la inesperada ayuda de Jane Spencer, una antigua novia de Ludwig.",1988-12-02,Comedia,7.28
20 años no importan,"Alice Lantins (Virginia Efira, En solitario) tiene 38 años. Es hermosa, ambiciosa y pone mucha dedición a su trabajo, demasiada, hasta el punto de llegarse a olvidar de sus propios problemas. Tiene todos los ingredientes para convertirse en la próxima directora de la revista ""Rebelle"", todo excepto una pareja.  Pero cuando el joven y pasional Balthazar (Pierre Niney, LOL [Laughing Out Loud]), de 20 años de edad, se cruza por casualidad en su camino, la imagen que tenían sus compañeros de ella, cambia de la noche a la mañana. Creyendo haber encontrado la clave para conseguir el ansiado ascenso en el trabajo, Alice decide ser la protagonista de una imaginaria comedia romántica que aparentemente no acabará bien.",2013-03-06,Comedia,6.504
Love Actually,"En Londres, poco antes de las Navidades, se entrelazan una serie de historias divertidas y conmovedoras. 'Love Actually' es una manera abreviada de decir 'Love Actually Is All Around' y éste es precisamente el argumento de la película: mires a donde mires, encontrarás el amor en todas partes. Todos los personajes, cada uno a su manera (un primer ministro, una vieja estrella del rock, una asistenta portuguesa que sólo habla su idioma), están relacionados con los aspectos más divertidos, tristes, ingenuos y estúpidos del amor.",2003-09-07,Comedia,7.099
Infiltrados en la universidad,"La pareja de policías formada por Schmidt y Jenko vuelve a la carga después del éxito de la operación contra la red de narcotraficantes en el instituto. En esta ocasión, los agentes de la ley siguen perteneciendo a la unidad secreta Jump Street y tendrán que infiltrarse en una universidad para llevar a cabo una arriesgada investigación. Una nueva aventura que pondrá a prueba al dúo cada vez mejor compenetrado.",2014-06-05,Comedia,6.829
Dos policías rebeldes,"Un alijo de heroína valorada en unos 100 millones de dólares es robado del mismísimo depósito de la policía. El caso le será asignado a los agentes Burnett y Lowery, una pareja muy peculiar por los métodos que utilizan. La única pista que tienen para comenzar es la de un testigo que les ayudará a identificar a los atracadores y a la que tendrán que proteger.",1995-04-07,Comedia,6.83
Atrapado en el tiempo,"Phil, hombre del tiempo de una cadena de televisión, es enviado un año más a Punxstawnwey, a cubrir la información del festival de El día de la marmota. En el viaje de regreso, Phil y su equipo se ven sorprendidos por una tormenta que les obliga a regresar a la pequeña ciudad. A la mañana siguiente, al levantarse, Phil escucha en el radiodespertador el mismo programa que la mañana anterior.",1993-02-11,Comedia,7.6
Somos osos: La película,"Cuando el amor de Grizz, Panda y Ice Bear por los camiones de comida y los videos virales se fue de las manos, llama la atención del Agente Trout del National Wildlife Control, quien se compromete a restaurar el ""orden natural"" separándolos para siempre. Alejados de su hogar, los Bears se embarcan en un viaje épico por carretera mientras buscan refugio en Canadá, con su viaje lleno de nuevos amigos, obstáculos peligrosos y grandes fiestas. El arriesgado viaje también obliga a los Bears a enfrentar cómo se conocieron y se convirtieron en hermanos, para evitar que su vínculo familiar se separe.",2020-06-30,Comedia,7.827
Ferdinand,"Ferdinand es un novillo muy tranquilo que prefiere sentarse bajo un árbol a oler las flores que saltar, resoplar y embestirse con otros toros. A medida que va creciendo y haciéndose fuerte, su temperamento no cambia y sigue siendo un toro manso. Un día, unos hombres vienen buscando al toro más grande, rápido y bravo... y Ferdinand es elegido equivocadamente para las corridas de toros de Madrid.",2017-12-09,Comedia,7.212
Todo en un viernes (Friday),"A Craig (Ice Cube) lo han echado del trabajo por un presunto robo, de modo que su único plan para el viernes es pasarse las horas muertas en el porche de su casa con su amigo Smokey (Chris Tucker), que no hace más que fumarse la marihuana que ha de vender. (FILMAFFINITY)",1995-04-26,Comedia,7.147
Borderlands,"Lilith, una infame cazatesoros con un misterioso pasado, regresa a su planeta natal de Pandora para encontrar a la hija desaparecida del poderoso Atlas. Para ello forma una alianza inesperada con un heterogéneo equipo de inadaptados: Roland, un antiguo mercenario de élite ahora desesperado por la redención; Tiny Tina, una demolicionista salvaje preadolescente; Krieg, el musculoso protector de Tina; la científica Tannis; y Claptrap, un robot muy peculiar. Estos extraños héroes deberán luchar contra monstruos alienígenas y peligrosos bandidos para buscar y proteger a la niña desaparecida, que puede tener la clave de un poder inimaginable.",2024-08-07,Comedia,5.59
La dama y el vagabundo,"Reina es una preciosa perrita de pura raza que vive feliz en su hogar. Jaimito y Linda, la miman mucho y ella corresponde feliz a sus cuidados. Sin embargo, el día en que sus dueños deciden hacer un viaje, la vida de Reina se ve alterada; la llegada de la tía Sara con sus gatos no provoca más que sobresaltos. Menos mal que conoce a Golfo, un perro vagabundo muy simpático",1955-06-22,Comedia,7.125
Policán,"Un perro y un agente de policía resultan heridos juntos en el trabajo. Una operación quirúrgica que les salva la vida cambia el curso de la historia cuando nace Policán. Mitad perro, mitad hombre, Policán ha jurado proteger y servir -siempre que no le distraigan las ardillas- mientras persigue tenazmente a su archienemigo: el supervillano felino Petey el Gato. Pero la rivalidad entre Policán y Petey se ve alterada por la llegada de un adorable gatito clon de Petey, Lil Petey, que cambia las reglas del juego para ambos.",2025-01-24,Comedia,7.445
Toy Story Toons: Fiestasaurio Rex,"Pobre Rex, los juguetes piensan que es un aguafiestas. Pero cuando Bonnie se lo lleva para jugar durante su baño, Rex se desmelena y pasa a ser lo más, montando un fiestón de burbujas.",2012-09-14,Comedia,7.1
Piraña 3D,"El lago Victoria (Arizona) es un lugar que se llena de gente joven durante las vacaciones de primavera. De repente, se producen una serie de temblores submarinos que liberan unos peces prehistóricos antropófagos. Todos deberán unir sus fuerzas para sobrevivir a estas criaturas. Remake del clásico de terror dirigido por Joe Dante",2010-08-20,Comedia,5.4
Patrulla de aterrizaje: Protocolo bola de nieve,Los elfos navideños Lanny y Wayne entran en pánico cuando su misión para las fiestas sale mal y deja a Wayne pensando que tiene un gran problema con Santa por lo que le revela sin querer otros errores festivos.,2025-11-27,Comedia,7.0
Pelesenk Ailesi,,2024-05-01,Comedia,6.0
La cabaña en el bosque,"Cinco jóvenes se preparan para pasar el fin de semana en una aislada cabaña en el bosque, sin ningún tipo de comunicación con el exterior. En el sótano encuentran una extraña colección de reliquias y entre ellas, un diario que habla de la antigua familia que ocupó la casa. Lo que no sospechan es que están siendo observados y que sus acciones marcarán el destino de algo mucho más grande que ellos.",2012-04-12,Comedia,6.654
Broad Trip,,2026-05-08,Comedia,4.0
El sueño americano,,2026-02-18,Comedia,7.475
Lo Zio di Brooklyn,,1995-10-13,Comedia,7.208
Dos policías rebeldes II,"Los detectives de narcóticos Mike Lowrey y Marcus Burnett han sido asignados a un nuevo caso en Miami, donde un astuto narcotraficante ha iniciado una sangrienta guerra. Además la amistad de los dos agentes se complica cuando Mike empieza a sentir algo por la hermana de Marcus...",2003-07-18,Comedia,6.657
லவ் இன்சூரன்ஸ் கம்பெனி,,2026-04-10,Comedia,4.8
Noche de juegos,"Max y Annie son una pareja que forman parte de un grupo de amigos que queda todas las semanas para una noche de juegos organizada por uno de ellos. En una de esas noches Brooks (Kyle Chandler), el carismático hermano de Max, organiza un misterioso juego en el que sus amigos deberán resolver un asesinato con falsos matones y falsos agentes. Pero, cuando Brooks es secuestrado, los 6 jugadores comienzan a dudar sobre lo que es falso y lo que es real, y se ven inmersos en una noche caótica en la que deberán resolver el caso.",2018-02-15,Comedia,6.844
Desmadre de padre,Un padre que pretende controlar la inminente boda de su hijo se muda a vivir con él y su novia.,2012-06-14,Comedia,5.8
Con derecho a roce,"Narra cómo una relación entre dos jóvenes amigos, Dylan y Jamie, se complica cuando deciden involucrarse románticamente. Pensaban que seguir siendo amigos y tener sexo iba a ser fácil de llevar, pero pronto se darán cuenta de que no lo va a ser tanto.",2011-07-21,Comedia,6.642
अंग्रेजी मिडीयम,,2020-03-13,Comedia,7.007
Zohan: Licencia para peinar,"Zohan, un peculiar y muy competente agente israelí de los servicios secretos del Mossad, finge su muerte para poder trasladarse de Israel a Nueva York y cumplir allí el sueño de su vida: convertirse en peluquero y estilista. Aunque Zohan se ha propuesto olvidar su peligrosa vida como agente de la lucha antiterrorista, pronto se da cuenta de que no es tan sencillo.",2008-06-05,Comedia,5.717
Al rescate de Fondo de Bikini: La película de Arenita Mejillas,"Cuando Fondo de Bikini es arrastrado fuera del mar, la ardilla científica Arenita Mejillas y su amigo Bob Esponja se embarcan rumbo a Texas para salvar su ciudad.",2024-10-01,Comedia,6.14
Busty Cops: Protect and Serve!,,2009-08-01,Comedia,4.778
தமிழ் ராக்கர்ஸ்,,2021-12-31,Comedia,4.75
Michael,"El viaje de Michael Jackson más allá de la música, desde el descubrimiento de su extraordinario talento como líder de los Jackson Five hasta convertirse en una visionaria estrella cuya ambición creativa despertó un incansable afán por consagrarse como el mayor icono de la industria del entretenimiento.",2026-04-22,Drama,8.677
Salitan,,2024-02-16,Drama,4.4
Herida,"Peligrosa aventura de amor y sexo entre un hombre maduro y la prometida de su hijo. Él es un respetable miembro del Parlamento, pero está dispuesto a dejarlo todo por ella; ella, calculadora y pragmática, está decidida a casarse con su novio.",1992-12-02,Drama,6.572
పెద్ది,,2026-06-03,Drama,6.1
Culpa tuya: Londres,"Noah y Nick regresan más fuertes, unidos y enamorados que nunca. Pero a medida que la vida empieza a tirar de ellos en direcciones diferentes, su relación se enfrenta a su reto más difícil hasta la fecha. Noah se marcha a Oxford para proseguir sus estudios, mientras que Nick se ve consumido por las crecientes exigencias del trabajo. Cuando nuevas personas entran en sus vidas, despertando emociones inesperadas y celos persistentes, empiezan a formarse grietas. La confianza se pone a prueba, las pasiones se desatan y el vínculo que una vez creyeron irrompible empieza a tensarse. Ahora, en una encrucijada, Noah y Nick deben decidir: luchar por el amor que los unió... o arriesgarse a perderlo para siempre.",2026-06-17,Drama,7.572
L'homme inconnu,,2021-10-16,Drama,7.8
मैं वापस आऊंगा,,2026-06-10,Drama,5.25
The Punisher: One Last Kill,"Mientras Frank Castle busca propósito más allá de la venganza, una fuerza inesperada lo arrastra de nuevo a la lucha.",2026-05-12,Drama,8.3
Escuadrón letal,"Unos astutos y traicioneros ladrones desafian a la Policía Judicial de Macao. La Policía, que se encontraba en una dura batalla, invita de nuevo al experto en rastreo Huang De Zhong, retirado desde hace muchos años, a unir fuerzas con la joven élite del Departamento de Investigación Criminal de la Policía Judicial. Bajo la colisión de las técnicas tradicionales de rastreo y la alta tecnología, la policía y los criminales luchan con ingenio y valentía, y se lanzan a un duelo entre el bien y el mal parecido al juego del gato y el ratón.",2025-08-16,Drama,7.79
나는 신혼 너는 재혼,,2021-08-12,Drama,0.0
Rita,,2024-03-22,Drama,6.0
Witte Wieven,"En un pequeño pueblo holandés lleno de fanáticos religiosos y supersticiones durante la Edad Media, Frieda está tratando de concebir un hijo con su esposo. Cuando no puede quedarse embarazada, los habitantes del pueblo sospechan que ha hecho un pacto con el diablo que reside en el bosque. Después de sobrevivir a un intento de violación en ese mismo bosque gracias a la ayuda de una entidad maligna, Frieda regresa al pueblo con una fe renovada.",2024-01-25,Drama,6.2
మా ఇంటి బంగారం,,2026-06-18,Drama,8.5
Interstellar,Un grupo de exploradores hacen uso de un agujero de gusano recientemente descubierto para superar las limitaciones de los viajes espaciales tripulados y vencer las inmensas distancias que tiene un viaje interestelar.,2014-11-05,Drama,8.479
भारत भाग्य विधाता,,2026-06-12,Drama,0.0
Acero puro,"En un futuro no muy lejano, el boxeo es robótico: en los combates ya no se enfrentan seres humanos, sino robots humanoides, sofisticadas máquinas diseñadas para luchar. Charlie Kenton, un antiguo púgil que casi llegó a alcanzar la gloria, está pasando una mala racha como promotor de combates. Un día, encuentra un viejo robot desechado y, al comprobar que es un gran boxeador, decide entrenarlo.",2011-09-28,Drama,7.109
Cadena perpetua,"Acusado del asesinato de su mujer, Andrew Dufresne, tras ser condenado a cadena perpetua, es enviado a la prisión de Shawshank. Con el paso de los años conseguirá ganarse la confianza del director del centro y el respeto de sus compañeros presidiarios, especialmente de Red, el jefe de la mafia de los sobornos.",1994-09-23,Drama,8.723
El diablo viste de Prada,"En el vertiginoso mundo de la moda en Nueva York, la revista 'Runway' es el Santo Grial. Dirigida con puño de hierro y elegante manicura por Miranda Priestly, trabajar en ella es un temible reto para todo aquel que quiera triunfar en ese mundo. Hacerlo como ayudante de Miranda podría abrirle cualquier puerta a Andy Sachs, recientemente graduada. Pero ella es una chica que destaca por su desaliño dentro del pequeño ejército de guapísimas redactoras de la revista. Andy comprende muy pronto que para triunfar en ese negocio va a necesitar algo más que iniciativa y determinación. Y la prueba definitiva está delante de ella, vestida de Prada de pies a cabeza.  Es una mierda de película!!",2006-06-29,Drama,7.4
యుఫోరియా,,2026-02-06,Drama,3.75
"¡Ay, mamá!","Ante un problema inesperado, una madre y sus hijas, a las que no ve mucho, intentan encubrir un crimen en un vecindario lleno de cotillas donde no hay quien guarde un secreto.",2026-06-04,Drama,6.7
Culpa mía: Londres,"Noah, de 18 años, se traslada de Estados Unidos a Londres con su madre, que se ha enamorado recientemente de William, un adinerado hombre de negocios británico. Noah conoce al hijo de William, el malote Nick. Pese a los esfuerzos de ambos por evitarlo, se sienten atraídos. Mientras Noah pasa el verano adaptándose a su nueva vida, su doloroso pasado la irá atrapando a la vez que se va enamorando.",2025-02-12,Drama,7.406
Habitación en Roma,"Verano de 2008. Se inspira en el film 'En la cama', del chileno Matías Bize. En un hotel del centro de Roma se conocen una rusa y una española. Al día siguiente Alba volverá a España y Natasha, a Rusia. En la habitación del hotel se respira una atmósfera cargada de erotismo y sensualidad. Entre ellas nace un sentimiento nuevo que ambas aceptan. Durante doce horas, las dos mujeres se confían sus vidas, hablan de sus compromisos y del amor sincero por sus respectivas parejas.",2010-05-07,Drama,6.406
Perversa adicción,"La adicción al sexo de Zoe Reynard, una exitosa mujer de negocios, amenaza con arruinar su vida familiar junto a su marido y sus dos hijos.",2014-10-10,Drama,5.91
La sonrisa del mal,"Remis es un pequeño pueblo enclavado en un valle aislado en las montañas. Sus habitantes son excepcionalmente felices. Parece el destino perfecto para el nuevo profesor de educación física Sergio Rossetti, atormentado por un pasado misterioso. Al poco tiempo de llegar, el profesor descubre que tras esta aparente serenidad se esconde un ritual inquietante: una noche a la semana, los aldeanos se reúnen para abrazar a Matteo Corbin, un adolescente capaz de absorber el dolor ajeno. El intento de Sergio por salvar al joven despertará el lado oscuro de la comunidad.",2025-09-17,Drama,6.95
Beast (La bestia),"Con la ayuda de su antiguo entrenador, un campeón de MMA retirado e invicto regresa a la jaula para vengar la muerte de su hermano y resolver sus problemas financieros.",2026-04-10,Drama,6.246
Culpa mía,"Noah debe dejar su ciudad, novio y amigos para mudarse a la mansión de William Leister, el flamante y rico marido de su madre Rafaela. Por otro lado, con 17 años, orgullosa e independiente, Noah se resiste a vivir en una mansión rodeada de lujo. Allí conoce a Nick, su nuevo hermanastro, y el choque de sus fuertes personalidades se hace evidente desde el primer momento.",2023-06-08,Drama,7.733
After: Almas perdidas,"Cuando Tessa toma la decisión más importante de su vida, todo cambia. Los secretos que salen a la luz sobre su familia y la de Hardin ponen en peligro su relación y su futuro juntos. La vida de Tessa empieza a romperse en pedazos y ya nada será como antes. Aunque sabe que Hardin la quiere, estas dos almas perdidas están rodeadas de celos, odio... y perdón. Hasta ahora, el amor era suficiente para mantener su relación a flote, pero ¿de verdad sigue mereciendo la pena?",2021-09-01,Drama,7.003
അതിരടി,,2026-05-14,Drama,7.2
Culpa tuya,"El amor entre Noah y Nick parece inquebrantable, a pesar de las maniobras de sus padres por separarles. Pero el trabajo de él y la entrada de ella en la universidad, abre sus vidas a nuevas relaciones. La aparición de una exnovia que busca venganza y de la madre Nick con intenciones poco claras, removerán los cimientos no solo de su relación, sino de la propia familia Leister. Cuando tantas personas están dispuestas a destruir una relación, ¿puede realmente acabar bien?",2024-12-26,Drama,7.079
Savior,,2015-12-01,Drama,0.0
Kara,"Un ladrón trata de enderezarse, pero, cuando su padre se endeuda por culpa de las condiciones abusivas de los bancos, vuelve a robar... y un policía implacable le pisa los talones.",2026-04-30,Drama,6.0
El paraíso de las damas,"Adaptación de una novela de Émile Zola, que tiene como protagonista a la bella Denise, una joven huérfana de provincias que llega a París para vivir con su tío Baudu, propietario de una mercería en decadencia, sobre todo por los planes de expansión de los grandes almacenes de ""Para la dicha de las damas"". Justamente aquí va a ser contratada Denise, sobre todo porque el dueño ha puesto los ojos en su hermosura.",1930-07-03,Drama,6.426
Donselya,,2024-10-29,Drama,6.7
Irreversible,Irreversible. Porque el tiempo lo destruye todo. Porque algunos actos son irreparables. Porque el hombre es un animal. Porque el deseo de venganza es un impulso natural. Porque la mayoría de los crímenes quedan sin castigo. Porque la pérdida del amado destruye como un rayo. Porque el amor es el origen de la vida. Porque toda la historia se escribe con esperma y sangre. Porque las premoniciones no modifican el curso de los acontecimientos. Porque el tiempo lo revela todo: lo mejor y lo peor.,2002-05-22,Drama,7.179
El drama,"Una pareja, en los días previos a su boda, se enfrenta a una crisis cuando unas inesperadas revelaciones desbaratan lo que uno de ellos creía saber sobre el otro.",2026-04-01,Drama,6.964
Sangre asesina,"A una mujer le espera una bala con su nombre por culpa de su extraño grupo sanguíneo, pero encuentra cobijo en los brazos del asesino al que ama, y juntos luchan por sobrevivir.",2026-05-06,Drama,8.7
Cincuenta sombras liberadas,"Creyendo que han dejado atrás las sombras del pasado, Christian y Anastasia disfrutan de su relación y de su vida llena de lujos. Pero justo cuando Ana empieza a relajarse, aparecen nuevas amenazas que ponen en riesgo su felicidad.",2018-01-17,Drama,6.672
El padrino,"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.",1972-03-14,Drama,8.687
சட்டென்று மாறுது வானிலை,,2026-05-15,Drama,0.0
Culpa nuestra,"La boda de Jenna y Lion propicia el tan deseado reencuentro entre Noah y Nick tiempo después de su ruptura. La incapacidad de Nick para perdonar a Noah se alza como una barrera insalvable. Él, heredero de las empresas de su abuelo y ella, empezando su vida laboral, se resisten a alimentar una llama que aún sigue viva. Pero una vez que sus caminos se han vuelto a cruzar, ¿será el amor más fuerte que el rencor? Secuela de ""Culpa tuya"".",2025-10-15,Drama,7.377
Irreversible,Irreversible. Porque el tiempo lo destruye todo. Porque algunos actos son irreparables. Porque el hombre es un animal. Porque el deseo de venganza es un impulso natural. Porque la mayoría de los crímenes quedan sin castigo. Porque la pérdida del amado destruye como un rayo. Porque el amor es el origen de la vida. Porque toda la historia se escribe con esperma y sangre. Porque las premoniciones no modifican el curso de los acontecimientos. Porque el tiempo lo revela todo: lo mejor y lo peor.,2002-05-22,Drama,7.179
Sangre asesina,"A una mujer le espera una bala con su nombre por culpa de su extraño grupo sanguíneo, pero encuentra cobijo en los brazos del asesino al que ama, y juntos luchan por sobrevivir.",2026-05-06,Drama,8.7
Kesong Puti,,2026-04-24,Drama,4.0
El diablo viste de Prada 2,"Sigue la lucha de Miranda Priestly contra Emily Charlton, su ex asistente convertida en ejecutiva rival, mientras compiten por los ingresos por publicidad en medio de la decadencia de los medios impresos y Miranda se acerca a la jubilación.",2026-04-29,Drama,6.562
Apocalypto,"Historia ambientada en la época del imperio maya. Cuando la idílica existencia de los mayas es brutalmente interrumpida por el ataque de una fuerza invasora, un hombre emprende un arriesgado viaje a un mundo regido por el miedo y la opresión en el que le espera un incierto final. Debido a un giro del destino y espoleado por el amor a su esposa y a su familia, emprenderá el regreso a su hogar en un desesperado esfuerzo por preservar su forma de vida...",2006-12-07,Drama,7.64
El padrino,"Don Vito Corleone, conocido dentro de los círculos del hampa como 'El Padrino', es el patriarca de una de las cinco familias que ejercen el mando de la Cosa Nostra en Nueva York en los años cuarenta. Don Corleone tiene cuatro hijos: una chica, Connie, y tres varones; Sonny, Michael y Fredo. Cuando el Padrino reclina intervenir en el negocio de estupefacientes, empieza una cruenta lucha de violentos episodios entre las distintas familias del crimen organizado.",1972-03-14,Drama,8.687
Stepdaddy,,2026-04-04,Drama,5.3
Dime lo que quieres (de verdad),"Diego y Emilia son una pareja conservadora con 16 años de matrimonio que ha perdido la chispa, hasta que Tomás y Betina los rescatan y los introducen en el mundo prohibido, cambiando lo que saben sobre la intimidad, las relaciones y el sexo.",2023-07-27,Drama,7.773
Kulong,,2024-05-24,Drama,6.417
Nueve canciones,"Lisa es una estudiante estadounidense que está pasando un año en Londres. Matt la conoce en un concierto de Black Rebel Motorcycle en Brixton Academy y se enamora de ella. Entre la música y los grupos vemos a Matt y a Lisa haciendo el amor y cómo a través de esos encuentros sexuales se va desarrollando su relación, que dura hasta las navidades, cuando Lisa regresa a Estados Unidos.",2004-07-16,Drama,5.545
ദൃശ്യം 3,,2026-05-21,Drama,7.3
给阿嬷的情书,,2026-04-30,Drama,9.2
Nymphomaniac. Volumen 2,"Historia de una ninfómana contada por ella misma. Una fría noche invernal, un viejo solterón encuentra en un callejón a una joven herida y casi inconsciente. Después de recogerla y cuidarla, siente curiosidad por saber cómo pudo haber llegado a semejante situación; escucha atentamente el relato que ella hace de su vida, una vida llena de conflictos y turbias relaciones.",2013-12-25,Drama,6.715
La doble vida de Miriam,"Cuando un cambio de circunstancias deja a Miriam incapaz de pagar sus estudios universitarios, toma una decisión sorprendente: comenzar a actuar en películas para adultos, usando el seudónimo Belle Knox. Miriam se encuentra con su familia y sus amigos en la escuela, manteniendo su doble vida en secreto. Pero pronto se difundieron rumores y Miriam se convirtió en el sujeto de ataques en línea viciosos y atención no deseada. Miriam responde: habla con los medios de comunicación, diciendo que su nueva línea de trabajo le da poder como feminista. Pero su postura confiada tiene consecuencias no deseadas. Miriam es rechazada por su familia conservadora y sus colegas en el mundo del cine adulto. Una decisión impulsiva ha salido rápidamente fuera de control y los problemas de Miriam apenas están comenzando.",2017-02-11,Drama,5.8
Blast,,2026-05-28,Drama,7.0
Parásitos,"Tanto Gi Taek (Song Kang-ho) como su familia están sin trabajo. Cuando su hijo mayor, Gi Woo (Choi Woo-sik), empieza a dar clases particulares en casa de Park (Lee Seon-gyun), las dos familias, que tienen mucho en común pese a pertenecer a dos mundos totalmente distintos, comienzan una interrelación de resultados imprevisibles.",2019-05-30,Drama,8.494
Betty Blue,"Zorg es un manitas que trabaja en Francia como encargado de unos bungalows en la playa. Su vida es tranquila y pacífica, trabaja con dedicación y escribe en su tiempo libre. Pero un día Betty entra en su vida, una joven tan bella como salvaje e impredecible. De repente, el carácter sin reglas de Betty empieza a descontrolarse.",1986-04-09,Drama,7.202
F1 la película,"El mítico piloto Sonny Hayes vuelve de su retiro, persuadido para liderar un equipo de Fórmula 1 en apuros y guiar a su joven promesa, en busca de una nueva oportunidad de éxito.",2025-06-25,Drama,7.8
Titanic,"Jack, un joven artista, gana en una partida de cartas un pasaje para viajar a América en el Titanic, el transatlántico más grande y seguro jamás construido. A bordo conoce a Rose, una joven de una buena familia venida a menos que va a contraer un matrimonio de conveniencia con Cal, un millonario engreído a quien sólo interesa el prestigioso apellido de su prometida. Jack y Rose se enamoran, pero el prometido y la madre de ella ponen todo tipo de trabas a su relación. Mientras, el gigantesco y lujoso transatlántico se aproxima hacia un inmenso iceberg.",1997-12-18,Drama,7.902
Criaturas luminosas,"En este drama, basado en el bestseller homónimo, una viuda forja un vínculo con un pulpo muy listo y un joven a la deriva mientras trabaja de noche en un pequeño acuario.",2026-05-07,Drama,8.58
GGS - Ganteng-Ganteng Sange,,2023-05-28,Drama,6.1
Comme un frère,,2005-04-17,Drama,4.2
கெணத்த காணணோம்,,2026-03-13,Drama,0.0
La herencia del mal,"Año 1859. Cuando una joven maorí es convocada desde Nueva Zelanda hasta North Yorkshire, descubre su terrible herencia colonial y se ve empujada a enfrentarse al aristócrata inglés que destrozó a su familia, decidida a acabar con él. Una historia de venganza marcada por las heridas del pasado colonial.",2026-04-17,Drama,6.417
Pink Floyd: El muro,"Película visualmente evocativa, basada en la música del disco homónimo y las visiones del grupo de rock psicodélico ""Pink Floyd"". Narra la vida de una estrella de rock ficticia: ""Pink"". Una mezcla de relaciones humanas, abuso de drogas, sexo, infancia, la Segunda Guerra Mundial y fascismo se combinan en un relato que alterna cine en vivo  con animación creada por el caricaturista británico Gerald Scarfe.",1982-07-14,Drama,7.929
Oye Bhole Oye 2,,2026-06-12,Drama,0.0
Peaky Blinders: El hombre inmortal,"El gánster Tommy Shelby regresa a Birmingham para salvar a su familia —y a su país— cuando su hijo, del que se ha distanciado, se ve envuelto en un complot nazi.",2026-03-05,Drama,7.249
Cincuenta sombras de Grey,"Cuando la estudiante de Literatura Anastasia Steele recibe el encargo de entrevistar al exitoso y joven empresario Christian Grey, queda impresionada al encontrarse ante un hombre atractivo, seductor y también muy intimidante. La inexperta e inocente Ana intenta olvidarle, pero pronto comprende cuánto le desea. Cuando la pareja por fin inicia una apasionada relación, Ana se sorprende por las peculiares prácticas eróticas de Grey, al tiempo que descubre los límites de sus propios y más oscuros deseos.",2015-02-11,Drama,5.866
Peligrosa obsesión,"En el verano de 1969, el coronel Kim Jin-pyeong, atrapado en un matrimonio sin amor con Lee Suk-jin, y Jong Ga-heun, la esposa chino-coreana del capitán Kyung Woo-jin, mantienen un apasionado romance secreto.",2014-05-14,Drama,6.7
Pin/Ya,,2024-12-06,Drama,5.7
農家の嫁は、取り扱い注意！ Part 2 有機ある大作戦篇,,2021-04-02,Drama,10.0
Top Gun: Maverick,"Después de más de 30 años de servicio como uno de los mejores aviadores de la Armada, Pete ""Maverick"" Mitchell se encuentra dónde siempre quiso estar, empujando los límites como un valiente piloto de prueba y esquivando el alcance en su rango, que no le dejaría volar emplazándolo en tierra. Cuando se encuentra entrenando a un destacamento de graduados de Top Gun para una misión especializada, Maverick se encuentra allí con el teniente Bradley Bradshaw, el hijo de su difunto amigo ""Goose"".",2022-05-21,Drama,8.159
